Title,Year,Director,Missing,Search Query
"Mayadari Alludu",1981,"K.S.R. Das","poster; tmdb_id","Mayadari Alludu 1981 Telugu film Krishna"
"Ekalavya",1982,"K. Balachander","poster; tmdb_id","Ekalavya 1982 Telugu film Krishna"
"Garuda Rekhe",1982,"K. Vasu","poster; tmdb_id","Garuda Rekhe 1982 Telugu film Krishna"
"Prema Nakshathram",1982,"P. Sambasiva Rao","poster; tmdb_id","Prema Nakshathram 1982 Telugu film Krishna"
"Nivuru Gappina Nippu",1982,"K. Bapayya","poster; tmdb_id","Nivuru Gappina Nippu 1982 Telugu film Krishna"
"Krishnaarjunulu",1982,"K. Raghavendra Rao","poster; tmdb_id","Krishnaarjunulu 1982 Telugu film Krishna"
"Shamshare Shankar",1982,"K.S.R. Das","poster; tmdb_id","Shamshare Shankar 1982 Telugu film Krishna"
"Jagannatha Radhachakralu",1982,"V. Madhusudhan Rao","poster; tmdb_id","Jagannatha Radhachakralu 1982 Telugu film Krishna"
"Pralaya Gharjana",1983,"K. Vasu","poster; tmdb_id","Pralaya Gharjana 1983 Telugu film Krishna"
"Lankebindelu",1983,"Vijaya Nirmala","poster; tmdb_id","Lankebindelu 1983 Telugu film Krishna"
"Kala Yamudu",1983,"K. Vasu","poster; tmdb_id","Kala Yamudu 1983 Telugu film Krishna"
"Monagadu Vastunnadu Jagratha",1983,"A. Kodandarami Reddy","poster; tmdb_id","Monagadu Vastunnadu Jagratha 1983 Telugu film Krishna"
"Kanne Donga",1983,"A. Kodandarami Reddy","poster; tmdb_id","Kanne Donga 1983 Telugu film Krishna"
"Mukhyamanthri",1984,"K. Raghavendra Rao","poster; tmdb_id","Mukhyamanthri 1984 Telugu film Krishna"
"Pulijoodam",1984,"P. Chandrasekhara Reddy","poster; tmdb_id","Pulijoodam 1984 Telugu film Krishna"
"Bangaru Kapuram",1984,"K. Bapaiah","poster; tmdb_id","Bangaru Kapuram 1984 Telugu film Krishna"
"Uddhandudu",1984,"P. Sambasiva Rao","poster; tmdb_id","Uddhandudu 1984 Telugu film Krishna"
"Kirai Alludu",1984,"K.S.R. Das","poster; tmdb_id","Kirai Alludu 1984 Telugu film Krishna"
"Maha Sangramam",1985,"A. Kodandarami Reddy","poster; tmdb_id","Maha Sangramam 1985 Telugu film Krishna"
"Andharikante Monagadu",1985,"T.L.V. Prasad","poster; tmdb_id","Andharikante Monagadu 1985 Telugu film Krishna"
"Ragile Gundelu",1985,"Kodandarami Reddy","poster; tmdb_id","Ragile Gundelu 1985 Telugu film Krishna"
"Palnati Simham",1985,"Krishnam Raju","poster; tmdb_id","Palnati Simham 1985 Telugu film Krishna"
"Krishna Paramathma",1986,"Krishna","poster; tmdb_id","Krishna Paramathma 1986 Telugu film Krishna"
"Parasuramudu",1986,"G. Ram Mohana Rao","poster; tmdb_id","Parasuramudu 1986 Telugu film Krishna"
"Naa Pilupe Prabahanajam",1986,"P. Chandrasekhara Reddy","poster; heroine; tmdb_id","Naa Pilupe Prabahanajam 1986 Telugu film Krishna"
"Dongodochhadu",1987,"Kodi Ramakrishna","poster; tmdb_id","Dongodochhadu 1987 Telugu film Krishna"
"Brahma Nayudu",1987,"Kodandarami Reddy","poster; heroine; tmdb_id","Brahma Nayudu 1987 Telugu film Krishna"
"Dorakani Donga",1988,"K.S.R. Das","poster; tmdb_id","Dorakani Donga 1988 Telugu film Krishna"
"Parthudu",1989,"K.S.R. Das","poster; tmdb_id","Parthudu 1989 Telugu film Krishna"
"Nagastram",1990,"Krishna","poster; tmdb_id","Nagastram 1990 Telugu film Krishna"
"Prajala Manishi",1990,"M. Rosi Raju","poster; tmdb_id","Prajala Manishi 1990 Telugu film Krishna"
"Police Alludu",1994,"S. S. Ravichandra","poster; tmdb_id","Police Alludu 1994 Telugu film Krishna"
"Yes Nenante Nene",1994,"S. S. Ravichandra","poster; tmdb_id","Yes Nenante Nene 1994 Telugu film Krishna"
